NewQuestion,MC
Title,Make 4 input gate
QuestionText,<p>Logic gates with more than two inputs are             typically constructed by combining multiple 2-input             gates.</p><p><b> Use the diagram to determine if you can make a 4-input NAND using only 2-input NAND gates.</b></p>,HTML
Points,10
Difficulty,1
Image,/imagepools/alivebeef/NAND_parallel.png
OPTION,0,Yes,HTML
OPTION,100,No,HTML


NewQuestion,MC
Title,Make 4 input gate
QuestionText,<p>Logic gates with more than two inputs are             typically constructed by combining multiple 2-input             gates.</p><p><b> Use the diagram to determine if you can make a 4-input NAND using only 2-input NAND gates.</b></p>,HTML
Points,10
Difficulty,1
Image,/imagepools/alivebeef/NAND_cascade.png
OPTION,100,No,HTML
OPTION,0,Yes,HTML


NewQuestion,MC
Title,Make 4 input gate
QuestionText,<p>Logic gates with more than two inputs are             typically constructed by combining multiple 2-input             gates.</p><p><b> Use the diagram to determine if you can make a 4-input NOR using only 2-input NOR gates.</b></p>,HTML
Points,10
Difficulty,1
Image,/imagepools/alivebeef/NOR_parallel.png
OPTION,0,Yes,HTML
OPTION,100,No,HTML


NewQuestion,MC
Title,Make 4 input gate
QuestionText,<p>Logic gates with more than two inputs are             typically constructed by combining multiple 2-input             gates.</p><p><b> Use the diagram to determine if you can make a 4-input NOR using only 2-input NOR gates.</b></p>,HTML
Points,10
Difficulty,1
Image,/imagepools/alivebeef/NOR_cascade.png
OPTION,100,No,HTML
OPTION,0,Yes,HTML


